"Comp-APC-A","Comp-BV421-A","Comp-FITC-A","Comp-PE-Texas Red-A"
35.2505,59.947,-90.3238,81.2232
31.2519,49.2949,-60.4405,44.7136
66.6591,114.117,171.038,124.537
28.328,143.876,49.0667,126.159
40.9434,14.9202,4.33062,75.5747
19.7319,157.426,71.0332,107.583
42.7736,105.666,36.0875,109.593
29.2454,53.9511,62.1672,85.0804
0.506933,70.3444,18.131,71.439
8.24152,57.3955,-9.00822,69.935
12.1371,93.502,-132.13,50.8533
20.2488,90.9908,16.2867,80.5786
11.84,130.419,88.4554,114.286
24.5872,70.9882,-13.6913,73.2037
16.1644,94.1297,-53.1926,96.2637
39.8404,75.9008,24.3086,82.4858
-7.42951,66.2619,-44.1267,35.2512
87.7509,86.7192,-22.8587,135.817
40.8918,90.614,54.7995,129.994
21.7238,93.6276,26.3427,56.6542
11.7502,129.857,17.05,93.8465
12.1407,65.7516,-23.6479,111.3
24.6392,68.2393,-2.85127,55.2531
20.9591,152.457,18.562,74.6789
42.0602,77.6632,78.7489,109.734
46.2862,78.8589,31.3122,96.6647
21.8168,86.3421,-12.5697,95.0002
20.2102,53.1219,8.49634,84.8712
32.9311,67.6653,48.9849,65.0675
15.4127,63.2001,18.0413,58.0792
13.0215,89.6091,-30.4722,92.5452
16.266,85.0223,-29.6197,97.1468
65.8815,68.1118,453.032,138.875
16.1702,152.954,-75.386,138.21
12.372,76.0896,50.7461,152.539
20.7881,104.226,43.3619,87.5909
19.5575,103.411,155.253,102.628
20.9696,72.3112,-23.8868,67.4295
33.7987,118.181,129.277,151.243
-8.68638,90.7396,-25.8811,37.4689
46.4415,89.4207,-50.2728,73.3268
7.11669,78.9848,27.4276,48.8865
-0.990799,32.0746,-11.6653,75.7301
6.7934,99.3366,69.228,72.6378
-0.242245,83.3877,101.128,124.261
40.2071,120.056,9.6215,120.863
17.6598,85.0223,13.3365,82.2322
52.1819,86.4678,257.407,178.083
9.19962,24.8682,14.4058,79.0882
22.6308,105.04,100.868,132.354
27.8487,78.6072,-5.3708,69.8668
5.73541,68.6221,-62.2797,68.5027
22.7296,95.071,168.477,163.979
9.92284,71.8702,-3.00165,53.4922
49.0052,140.514,110.929,129.329
19.5214,59.8832,28.9248,82.2873
8.45615,87.4104,-57.6623,64.3413
17.3073,39.2176,44.9064,84.8915
7.99541,9.81906,-76.7696,48.6042
34.3536,130.544,54.4651,120.023
42.7229,191.285,-5.2978,115.222
28.0804,75.2082,-58.9966,38.0399
9.49999,75.9637,-53.2176,82.2212
10.7103,67.9842,8.23484,69.4345
44.661,87.7246,18.6873,70.3015
37.6529,74.1377,78.6687,82.0923
46.9765,78.1667,-4.7487,50.4024
33.1615,63.3277,2.88018,69.8987
6.41441,97.4551,-134.743,72.1572
49.3702,83.9536,3.04984,52.2495
17.4671,107.921,-72.9564,121.903
13.5348,75.2712,134.623,78.1033
46.5976,71.6812,60.1206,68.1477
30.8035,127.611,155.164,149.309
19.1965,83.0733,-46.0808,81.8807
15.0639,28.567,72.821,35.9911
15.9469,94.3807,-8.2791,71.7452
28.0869,71.8072,56.1493,104.266
15.1613,56.3112,-95.8057,79.9326
13.556,71.3662,-28.9557,118.34
22.183,97.8942,-28.5225,78.6564
87.993,169.519,167.942,228.493
36.297,56.8214,-36.2607,74.5025
28.5074,94.1297,2.37488,154.919
3.71167,58.7988,15.7427,68.2407
32.3712,164.871,152.601,133.367
33.6824,47.509,-30.8841,85.0493
6.68002,89.986,26.4224,109.574
19.8722,86.2793,25.2399,61.5689
18.387,76.1526,49.2008,92.7118
8.39898,77.4744,-50.4287,70.6934
17.7206,81.8785,99.4014,93.7367
41.3443,103.223,43.2376,110.146
57.6031,85.6508,4.12059,93.1175
0.583987,89.986,2.37171,62.8775
5.25372,77.5374,-53.486,109.855
12.7174,121.305,66.0077,89.8256
31.3542,70.7909,9.16778,57.6914
0.0249785,37.8145,-45.3748,88.4851
30.7706,94.6945,14.3413,73.8508
48.4813,51.0171,-4.54645,84.0603
24.2352,139.58,55.8963,142.744
42.1531,70.6633,2.33245,99.4124
8.57935,59.6918,-124.758,62.8216
34.8241,88.2272,48.276,98.1724
24.4182,97.706,64.4627,104.156
31.2539,158.543,98.3579,111.437
21.2876,90.2372,5.12841,80.7758
16.6209,67.4101,-61.9823,63.8009
23.1806,72.9411,119.836,77.354
