"Comp-APC-A","Comp-BV421-A","Comp-FITC-A","Comp-PE-Texas Red-A"
57.4441,77.2856,72.895,116.881
36.3647,86.782,-19.3017,164.354
22.8698,137.463,-93.0603,105.796
95.1384,60.0745,-113.086,67.8769
13.9087,75.7119,-56.1673,73.0713
19.9378,79.2994,-74.6112,90.7959
529.586,129.234,29.4716,142.311
-32.6484,-25.4442,-71.2575,77.1992
59.0489,121.118,195.505,72.4791
7.71062,74.5156,47.2605,116.755
10.3203,21.3608,-50.0375,82.3517
10.7999,145.058,209.166,132.504
47.7175,101.907,91.7524,108.065
9.4861,83.3877,-11.349,126.358
9.19312,73.382,28.1898,73.7257
160.221,123.054,21.6088,103.409
4.08436,56.6301,-59.3056,63.3363
32.7595,110.863,154.034,132.823
3.17283,63.7104,-49.7679,73.3536
20.7005,75.3971,-16.8063,121.677
25.9736,63.4552,72.2,83.4685
43.1013,82.696,-118.783,127.95
32.998,136.466,63.0525,130.658
38.282,104.602,89.3106,164.341
50.5185,130.169,89.4336,137.699
18.1142,111.113,-42.7413,110.851
17.9558,69.9617,11.0411,55.438
54.7521,110.926,36.4671,87.2851
32.8108,76.845,99.073,114.952
33.7737,136.528,105.991,111.42
47.1299,173.792,254.222,246.392
-2.08757,82.8847,59.3451,105.971
21.4654,99.023,19.9319,79.275
23.4574,67.4101,-80.8239,64.8576
29.5057,70.0892,-60.3114,68.3363
21.8524,102.032,47.1656,103.223
38.129,64.731,-26.5509,71.7971
10.6932,144.249,-72.5946,107.85
28.2766,52.4203,-122.972,83.1799
19.8904,124.865,11.0104,102.15
25.2567,52.9306,5.92306,84.0185
24.1902,59.6918,-126.966,38.2052
26.8796,87.2847,-104.552,98.4319
41.4352,94.0042,19.1001,81.7932
40.3938,107.232,78.3847,154.903
46.33,57.7782,27.921,85.7099
41.5569,89.2951,-33.8325,62.1765
39.2186,94.5063,54.8429,127.233
36.7518,117.368,82.9779,145.693
38.4534,30.7353,26.1751,102.699
12.1631,71.3012,-51.6903,78.3856
149.979,105.04,88.6892,126.525
10.5517,83.765,-29.1347,74.8899
27.906,95.573,121.441,69.5903
19.9546,42.3428,-42.6215,76.7572
58.9088,98.2705,54.2524,69.7875
30.3,106.606,-0.0374437,138.314
91.422,125.489,5.37006,110.473
25.0641,33.3501,-36.5915,38.4752
31.4925,35.2634,-17.9666,84.9284
1.64514,74.2637,-22.5938,30.1488
43.4915,778.39,133.814,127.203
38.6456,56.1198,19.8684,81.3357
3.01762,54.5252,-22.7279,84.5147
8.45863,92.686,4.65414,64.0651
-7.14378,118.493,73.8194,140.939
38.1029,89.1066,130.633,129.473
19.7303,96.3259,80.9074,132.103
49.8829,86.5307,38.9187,135.272
16.5734,50.3155,-108.064,14.3075
26.8399,104.664,12.8243,102.848
9.20065,100.904,-24.2967,91.1432
49.1868,70.5358,85.2933,109.141
55.836,77.6003,-88.3395,82.51
37.5889,153.016,376.395,192.664
-23.912,28.6308,-145.326,91.443
23.6827,121.742,-41.0066,112.847
121.375,93.502,75.5308,94.7113
47.49,97.3924,88.9835,102.908
16.3015,86.2793,29.0039,105.367
13.7712,127.174,-113.895,106.606
59.58,102.408,-7.27873,129.12
25.4143,133.724,129.15,151.706
6.52182,39.2176,19.5449,54.1373
43.4875,126.987,91.3755,164.17
30.6206,84.6451,6.00733,102.686
14.0541,67.6653,-18.2511,93.4223
43.5815,91.6815,4.32387,80.6879
62.5572,90.0488,118.105,111.761
68.309,117.618,118.443,115.314
32.1085,121.68,-97.1157,150.379
104.702,133.724,29.08,91.019
-7.03517,33.4139,-95.477,31.521
852.327,99.2739,67.1967,75.3674
20.0574,81.0609,-26.9538,95.7605
4542.89,961.84,216.664,135.565
30.579,46.361,14.3176,40.3694
35.2064,59.628,112.771,98.3057
7.50558,103.85,-68.641,78.691
16.5596,10.903,-116.229,9.75262
17.5218,120.493,56.8938,134.079
25.9877,63.6466,101.018,75.8175
34.9547,116.118,116.43,193.218
8970.22,743.344,1437.52,64.8511
43.4124,396.185,-44.9786,123.82
9.96605,39.6003,-14.9602,73.0298
16.8427,96.7023,-41.4899,130.433
13.0552,48.5295,-124.001,58.3718
21.2462,75.0193,-208.926,91.4672
14.0594,19.1927,-99.1978,38.069
41.2236,79.1106,-54.4098,123.564
35.3059,102.471,-11.8975,81.1547
87.9836,152.271,45.0164,103.982
69.5512,62.1795,64.2572,109.338
26.6185,61.9881,-45.0925,78.7617
85.5655,144.187,176.917,97.5453
29.0387,172.554,163.542,187.164
73.9018,109.236,126.176,153.792
23.5549,106.919,32.0958,114.881
9.81532,85.9022,-49.0682,89.7779
27.8613,129.608,89.5117,98.9008
12.3022,100.779,-36.7404,62.9336
15342.7,809.115,-0.295077,112.851
-24.4259,72.1222,-1.08685,68.3687
579.306,146.613,60.6451,112.482
24.0261,105.479,16.932,92.9444
