"FSC-A","SSC-A","APC-A","BV421-A","FITC-A","Time"
68702.1,31623.4,17.9094,1.91423,185.51,0.930869
70656.1,39772.1,26.037,-1.9881,266.134,0.93288
98363.3,66083.5,14.2858,16.4371,299.118,0.934474
64843.6,43929.9,50.8894,42.1865,207.292,0.938586
84711.8,55077.1,55.2907,21.3885,237.17,0.942242
73929.9,49324.4,32.6121,11.5519,230.85,0.9494
69509.1,68899,75.4431,7.85517,370.492,0.951587
69068.7,59409,85.5221,76.5588,253.474,0.951952
107140,59934.1,24.8463,21.7186,277.994,0.954121
77082.7,40715.9,-15.7833,33.0086,253.19,0.958535
72720.9,44971.2,29.8681,-18.0171,195.231,0.961926
74500,47180.1,30.7482,5.8088,204.439,0.965954
66950.5,34807.2,43.8474,12.8722,136.832,0.966471
58552,33776.5,26.037,27.7926,143.098,0.969744
59799.1,48779.6,44.6241,40.0075,180.214,0.974057
48323.5,45559.6,34.1653,7.98719,184.651,0.975229
82787.5,52507.7,51.6143,39.4132,208.005,0.976941
89530.2,44243.5,20.9636,29.8393,189.729,0.979021
87301.1,47740.9,33.5958,22.4448,194.16,0.979866
45570.3,43011.6,70.0895,34.065,195.874,0.98187
71847,64873.7,94.3618,30.4336,301.016,0.982304
73840.6,65358,33.6475,38.6869,267.194,0.984425
38947.1,35756.7,5.53805,-4.47322,183.149,0.986138
69063,40208,20.446,10.2316,185.796,0.987626
84324,43297.1,43.6921,18.6817,218.69,0.988358
67459.4,33848.2,34.8383,37.2343,194.088,0.998859
48630.4,43476.2,45.6596,15.5129,171.618,1.00307
40792.6,22608.5,22.7238,-0.248512,92.0078,1.00609
47859.9,25583.4,52.6499,23.6992,178.782,1.00914
59210.9,52235.2,42.1387,17.7574,293,1.00928
47324.6,28878.1,29.9716,32.9425,136.832,1.0103
55833.1,37661.9,28.7809,-0.745536,140.434,1.01372
78745.1,37841.6,24.018,7.06302,198.731,1.01586
52605.5,36390.3,23.5003,40.7998,190.015,1.02242
106731,62094.6,28.1079,17.4934,253.19,1.02559
51028,31548.6,32.6121,2.97037,193.874,1.02753
35280.5,39331.8,37.8931,-7.57962,216.554,1.02863
63390,37601.1,35.3561,36.9702,154.247,1.03158
76138.4,45425.3,21.2225,20.6623,215.344,1.03173
82923.6,41170.4,39.8088,42.6487,239.795,1.03208
77215.4,49078.6,17.3917,46.2804,206.864,1.0329
82889.1,57886.6,31.5248,14.3906,212.78,1.03756
52547.4,34135,37.0129,-1.18043,105.631,1.04178
59959.9,31656.3,36.4951,4.48859,154.391,1.04325
111375,64502.8,69.7324,16.4371,342.695,1.04824
