"FSC-A","SSC-A","APC-A","FITC-A","Time"
69843.9,37814.7,3.4,409.2,1.56108
67414.6,75909.4,39.1,698.43,1.56311
66209.1,55418.7,21.25,534.75,1.56818
63935.5,50522.2,8.5,603.57,1.58137
38296.8,50862.6,26.35,630.54,1.58137
100270,71190.6,28.05,830.49,1.58238
33280.3,56047.4,29.75,629.61,1.58644
51794.8,41960.7,-15.3,581.25,1.58847
51180.9,67505.9,19.55,1002.54,1.5905
59630,40126.7,55.25,633.33,1.59354
37287.2,40635.4,58.65,568.23,1.59354
53823.5,50967.7,26.35,504.06,1.59455
41655.1,63666.9,44.2,593.34,1.59557
67116.8,70801.8,25.5,820.26,1.60165
45566.4,41455.7,17,622.17,1.60165
47058.7,58479.3,17,545.91,1.6047
46029.4,59649.3,32.3,681.69,1.6047
55928.1,57018.3,1.7,583.11,1.60875
61047.2,50656.2,20.4,707.73,1.61078
60305.4,55127.6,42.5,818.4,1.61078
50470.7,47791.8,71.4,639.84,1.61383
38123.8,43900.6,33.15,523.59,1.61484
60958,57531.7,25.5,637.05,1.62498
66180.7,66371.3,22.1,807.24,1.62803
47253.9,56499.4,3.4,605.43,1.63107
51552.2,75228.6,60.35,957.9,1.63817
84821.5,75916.8,77.35,971.85,1.6402
48795.9,61799.4,17.85,771.9,1.6473
67645.3,50335.3,-12.75,633.33,1.65136
58588,43264.5,27.2,583.11,1.65339
46491.5,57871.1,5.1,531.96,1.6544
47166.2,45512.3,45.05,628.68,1.65541
69154.2,65232.1,37.4,677.04,1.65643
68253.6,45397,21.25,669.6,1.65744
81181.2,62917.3,22.95,785.85,1.66252
80597.4,55012.3,58.65,743.07,1.66454
49204.4,60257.5,44.2,883.5,1.66454
58881.1,40296.9,34,452.91,1.66962
59380.4,76164.2,44.2,936.51,1.67063
60845.8,57623.7,66.3,600.78,1.67164
61172.9,49163.5,17,624.96,1.67469
112293,69480.3,56.1,1027.65,1.6757
51376.9,34770.8,29.75,463.14,1.67672
59008.3,55109,34.85,497.55,1.67672
45089.2,77031,29.75,824.91,1.67773
73310.4,55146.2,22.95,658.44,1.6828
68396.6,89154.5,96.05,1087.17,1.6828
58156.6,73949,66.3,998.82,1.68585
55620,76705.5,6.8,819.33,1.68686
39034.7,56498.4,9.35,782.13,1.69295
67691.1,75755.9,40.8,1005.33,1.70005
47719.2,58054.3,10.2,791.43,1.70512
70263.4,83729.8,11.05,1157.85,1.70715
63705.6,53290.9,35.7,773.76,1.70715
45666,34422.1,-3.4,408.27,1.70918
49123,58320.3,26.35,679.83,1.71323
70821.1,49098.4,30.6,889.08,1.71425
62591.7,68747.5,-0.85,664.95,1.72845
67245.6,48297.7,-12.75,704.01,1.72845
58596.7,47359.3,-12.75,593.34,1.73048
35129.7,33688.3,9.35,425.94,1.73555
36422.9,36524.8,2.55,413.85,1.73758
87207.3,63581.3,2.55,850.02,1.74163
50028.3,76994.7,71.4,769.11,1.74569
50180.8,38451.8,37.4,561.72,1.75279
49147.5,47174.2,5.1,478.02,1.75584
50902.9,32170.6,-2.55,499.41,1.75786
50605.8,42742.8,29.75,543.12,1.76091
69873.9,60402.6,-10.2,930.93,1.76496
42938.9,39143.7,69.7,439.89,1.76496
57024.6,64725.2,11.9,1026.72,1.76496
66227.3,53993,22.1,594.27,1.76699
40606,45568.1,5.95,714.24,1.77004
79148.5,79742.9,73.95,971.85,1.77105
60960.4,62940.5,53.55,1023,1.77511
50583.7,57909.2,11.05,801.66,1.77612
41529.5,75133.8,59.5,969.99,1.78221
53226.2,44234.5,4.25,564.51,1.78525
67507.1,50498.1,100.3,733.77,1.78525
87916.7,54006,11.05,782.13,1.79438
71385.2,68478.7,-23.8,912.33,1.79539
67731.4,59147.1,11.05,909.54,1.8025
76916,47272.8,24.65,693.78,1.80757
57459.1,68849.8,54.4,839.79,1.80858
48070.7,37933.8,24.65,516.15,1.81061
55420.9,40277.4,6.8,573.81,1.81467
47516.1,63983.1,0.85,744,1.81568
32081.1,61884.1,43.35,830.49,1.8167
75050,62470.9,-12.75,827.7,1.82278
75471.1,39635.7,5.95,496.62,1.82583
79508,67658.4,21.25,864.9,1.82988
81530.4,87444.2,18.7,808.17,1.83394
62365,63334.9,-22.95,639.84,1.838
56202.2,70208.5,11.9,657.51,1.838
55293.7,54299,34,531.03,1.84408
31004.3,47948.9,4.25,735.63,1.8451
59177.3,68868.4,0,814.68,1.85321
63992.4,60279.8,37.4,688.2,1.85626
25297.4,42084.4,-12.75,363.63,1.85727
48866.2,37031.7,51.85,428.73,1.85828
38569.4,58590.9,21.25,726.33,1.86538
58214.3,45777.4,31.45,716.1,1.86741
69538.2,49852.6,28.9,948.6,1.8735
33248.7,39006.1,23.8,729.12,1.8806
62255.2,66489.4,44.2,729.12,1.88871
104354,86987.5,-15.3,1301.07,1.90089
48604,47246.8,8.5,605.43,1.9019
77916.1,52270.7,-28.05,663.09,1.90292
46465.4,63805.4,11.05,702.15,1.90494
69533.4,42103,11.9,558,1.909
41648.8,52749.6,31.45,907.68,1.91306
68820.9,44212.2,27.2,498.48,1.91306
77104.8,50142.8,-11.05,763.53,1.91509
39280.4,40147.2,11.05,449.19,1.91915
55646,49955.9,1.7,1426.62,1.92016
40588.6,46093.6,29.75,518.94,1.92219
43931.1,44484.7,-1.7,600.78,1.93132
59661.6,50099.1,27.2,588.69,1.93639
24471.8,45622.1,34,546.84,1.93943
60427.9,72982.7,55.25,1113.21,1.94248
55113.6,45665.8,-4.25,624.96,1.94349
57497.8,58218,30.6,807.24,1.94958
60822.9,47320.3,11.9,728.19,1.95059
86822.6,73785.3,131.75,1140.18,1.9516
72401.1,46570.7,70.55,633.33,1.95262
47709.7,44338.7,0,516.15,1.95566
56340.4,75982.9,33.15,658.44,1.95769
83755,86367.2,62.05,809.1,1.96276
57779.8,52994.2,-25.5,617.52,1.97392
38424,43325.9,15.3,597.99,1.97798
48389.1,61851.5,28.05,757.02,1.98001
