TAF12	TAF12
RNU11	RNU11
GMEB1	GMEB1
YTHDF2	YTHDF2
OPRD1	OPRD1
EPB41	EPB41
TMEM200B	TMEM200B
SRSF4	SRSF4
MECR	MECR
PTPRU	PTPRU
MATN1	MATN1
LOC100129196	LOC100129196
LAPTM5	LAPTM5
MIR4420	MIR4420
SDC3	SDC3
PUM1	PUM1
SNORD103A	SNORD103A
SNORD103B	SNORD103B
SNORD85	SNORD85
PRO0611	PRO0611
NKAIN1	NKAIN1
SNRNP40	SNRNP40
ZCCHC17	ZCCHC17
FABP3	FABP3
SERINC2	SERINC2
LOC149086	LOC149086
LOC284551	LOC284551
TINAGL1	TINAGL1
HCRTR1	HCRTR1
PEF1	PEF1
COL16A1	COL16A1
BAI2	BAI2
MIR4254	MIR4254
SPOCD1	SPOCD1
PTP4A2	PTP4A2
LOC100507229	LOC100507229
KHDRBS1	KHDRBS1
TMEM39B	TMEM39B
KPNA6	KPNA6
LOC100652828	LOC100652828
TXLNA	TXLNA
CCDC28B	CCDC28B
LOC100652837	LOC100652837
IQCC	IQCC
DCDC2B	DCDC2B
TMEM234	TMEM234
EIF3I	EIF3I
MTMR9LP	MTMR9LP
FAM167B	FAM167B
LCK	LCK
HDAC1	HDAC1
MARCKSL1	MARCKSL1
LOC100128071	LOC100128071
TSSK3	TSSK3
BSDC1	BSDC1
ZBTB8B	ZBTB8B
ZBTB8A	ZBTB8A
ZBTB8OS	ZBTB8OS
RBBP4	RBBP4
SYNC	SYNC
KIAA1522	KIAA1522
YARS	YARS
S100PBP	S100PBP
FNDC5	FNDC5
HPCA	HPCA
TMEM54	TMEM54
RNF19B	RNF19B
LOC100505584	LOC100505584
AK2	AK2
ADC	ADC
TRIM62	TRIM62
ZNF362	ZNF362
PHC2	PHC2
MIR3605	MIR3605
ZSCAN20	ZSCAN20
CSMD2	CSMD2
HMGB4	HMGB4
LOC402779	LOC402779
C1orf94	C1orf94
MIR552	MIR552
GJB5	GJB5
GJB4	GJB4
GJB3	GJB3
GJA4	GJA4
C1orf212	C1orf212
DLGAP3	DLGAP3
LOC653160	LOC653160
ZMYM6NB	ZMYM6NB
ZMYM6	ZMYM6
ZMYM1	ZMYM1
LOC100506168	LOC100506168
SFPQ	SFPQ
ZMYM4	ZMYM4
KIAA0319L	KIAA0319L
NCDN	NCDN
TFAP2E	TFAP2E
PSMB2	PSMB2
C1orf216	C1orf216
CLSPN	CLSPN
EIF2C4	EIF2C4
EIF2C1	EIF2C1
EIF2C3	EIF2C3
TEKT2	TEKT2
ADPRHL2	ADPRHL2
COL8A2	COL8A2
